channel,PC1,PC2,PC3
1,0.122149021,-0.20884415,-0.029916269
1,0.270302586,-0.228351099,0.005179404
1,0.501108079,0.646905339,-0.066081503
0,-0.473322374,0.518792371,0.144502983
1,0.105772044,0.995597024,-0.006621454
1,-0.092203305,-0.201800852,-0.007014744
1,-0.201750489,-0.378291566,0.043585268
1,0.090185989,-0.154177504,0.030884874
0,-0.313500898,-0.481287727,0.04526181
1,0.980758179,-0.54423748,-0.008194289
1,0.395921537,-0.287757898,0.107404346
1,-0.565165502,-0.144914022,0.070897376
1,0.611541909,0.551181833,-0.112125652
1,0.525935086,-0.043682006,0.057720348
1,0.52206276,0.143577092,-0.058543238
0,-0.579893903,-0.356057593,0.059829544
1,0.345915717,-0.761901894,0.009533997
0,-0.212844051,0.182480963,-0.028967538
1,0.198018875,0.361579964,-0.004439784
0,-0.194577016,-0.515549875,0.062102766
1,-0.192595138,0.143828345,0.005256371
0,-0.6819878,-0.155509446,0.124264144
0,-0.103960352,1.659046724,0.122330764
1,2.876723769,2.780391362,-0.416642887
1,0.767486895,0.831365791,-0.063729935
1,-0.090619998,-0.376200623,0.030706527
0,-0.633695927,-0.006481076,0.105734694
0,-0.669493569,-0.162183362,0.051779557
1,1.918961189,-0.228711993,-0.126541262
0,-0.474821722,0.846751706,-0.009186453
0,0.049571807,0.227719631,-2.08E-05
0,-0.443431862,-0.318318887,0.071759705
0,-0.586543304,0.009927322,0.031273668
0,-0.210414717,0.924424082,0.08546
0,-0.6520009,-0.590462035,0.070494509
1,0.106694791,-0.799836764,0.060451003
0,-0.10210914,0.994390016,-0.048748252
1,0.600722558,-0.258748116,0.009072326
1,0.975932806,-0.840106647,-0.041341521
0,-0.473832689,2.438480308,0.10826335
0,-0.002752332,1.714701197,0.093070096
0,-0.139009708,0.339861841,0.022911785
1,0.529059442,-0.726277621,0.022305966
1,1.19810356,-1.176869505,0.033310526
1,0.176542265,-0.585532164,0.029409719
1,1.729502313,-0.051710638,-0.131306065
1,1.14837849,-0.661392387,-0.008160707
1,5.855192341,1.177321255,-0.346962876
1,0.267777036,-0.361715101,0.01315189
1,2.211435541,-0.925978811,-0.049660027
0,-0.565644709,0.123751764,0.105938756
0,-0.30865293,-0.643158595,0.050592908
1,-0.150180849,0.685802284,-0.034944641
1,0.433565197,-0.861721806,0.023908293
0,-0.589975255,0.569038913,0.04309133
0,-0.311330178,-0.389443681,0.053027128
1,2.825920109,-0.923638833,-0.097070831
1,0.57144925,-0.699312762,-0.007432978
0,-0.664685215,-0.157234047,0.046395629
0,-0.025392419,-0.450158736,0.015334425
1,-0.135443275,-0.623251725,0.052415774
1,5.176726182,-0.429804015,-0.206263772
1,0.024102803,-0.113813327,0.092434009
1,0.880290374,-0.348657563,0.025539715
0,-0.526014771,-0.117147447,0.122863355
1,3.569540006,-1.856848603,-0.044727991
0,-0.292634656,-0.90020014,0.086315833
1,0.380973637,-0.142508016,0.01349327
0,-0.142435384,0.344321305,0.086952599
0,-0.634976737,-0.3597199,0.059659304
0,-0.488888744,1.012205841,0.21591748
0,1.108926388,1.971518537,-0.06948414
0,-0.38454425,0.270605925,0.203275803
1,-0.135986982,0.71309481,0.147641317
1,0.022629127,-0.212938208,0.019601947
0,-0.711931832,0.514895778,0.102415321
0,-0.343847439,0.094472796,0.186769208
1,1.693235472,-0.812113177,-0.010815498
0,-0.690727751,-0.162104369,0.092307516
0,-0.419717171,-0.405966261,0.05045276
0,-0.648454718,-0.419324849,0.066946181
1,0.647621677,-1.056689811,0.030317376
1,0.346072222,-0.175009867,-0.024261128
0,-0.610990027,0.262815273,0.063034894
1,-0.246533993,-0.380069007,0.063960758
1,7.767675518,-2.055548756,-0.246575638
1,5.168224283,-0.311904606,-0.520404381
0,0.663196334,3.137575538,-0.14317937
0,-0.61738795,0.436036431,0.250617292
0,-0.236012165,0.811296019,0.020227176
0,-0.729449475,0.014094604,0.115928793
0,-0.479504078,0.658221651,0.186090514
1,3.211927707,-0.311738267,-0.130461632
0,-0.265877487,3.378483081,0.65967299
1,0.47259036,-0.704541019,-0.013514763
0,-0.46432381,-0.622234636,0.061523417
1,-0.178519734,-0.892068442,0.074803863
0,-0.84033848,-0.615765368,0.097674075
0,-0.8356042,-0.594830102,0.099926469
0,-0.627649414,0.177045267,0.150761454
1,0.697098424,-0.011671907,0.032990754
1,0.802690677,-0.62986652,0.014055243
1,0.113726358,-0.397207264,0.065713355
0,0.079296215,3.025917673,0.247006611
0,-0.489053254,-0.132540823,0.059961636
0,-0.570489646,0.027742944,0.042337074
1,0.386226842,-0.745533301,0.022831992
1,0.898780868,-0.439893639,0.02732634
1,0.002995602,-0.573928983,0.005966664
1,1.022611849,-0.824618695,-0.035522565
0,-0.609170465,0.105737952,0.0663434
1,0.844105443,-0.391325653,-0.022632038
0,-0.391433934,1.100075216,0.150855961
0,-0.541972714,0.256374964,0.075542784
0,-0.632909644,0.273284529,0.068999132
0,-0.646513395,-0.043529172,0.099792806
0,-0.58083622,-0.20072651,0.068635599
0,-0.399850407,-0.206158984,0.054608289
0,-0.557390104,0.549485758,0.116687707
0,-0.605278578,0.004653713,0.114689235
0,-0.580399087,0.195985094,0.069696621
0,-0.628617734,-0.31139934,0.093462552
0,-0.782833686,-0.006443089,0.083705907
1,0.11542648,-0.207621398,0.018555416
0,-0.473172195,1.090611286,0.064008419
0,-0.092756914,3.362669786,0.198548081
0,-0.597762331,0.744531488,0.17958804
1,0.208397728,0.28411495,-0.037417778
0,-0.267219913,-0.697056381,0.018130043
0,-0.562809606,1.039363289,-0.005051784
0,-0.618039352,0.251074875,0.157950843
0,-0.821040516,-0.562656092,0.079311464
0,-0.582905803,-0.177125356,0.046628265
0,-0.732395275,-0.321749423,0.060959144
0,-0.668688492,-0.335970799,0.061200403
0,-0.679907602,-0.373079437,0.080706994
0,0.060417113,-0.015213224,0.075105156
0,-0.147769021,-0.593772267,0.027848224
0,-0.282705205,0.160627297,-0.023488823
0,-0.425079247,-0.347264707,0.037041537
0,-0.159300772,0.349208837,0.020142033
0,0.054297881,0.55178395,-0.103910894
0,-0.156455468,0.734344525,0.006714656
0,-0.65204198,0.463830423,0.207236948
0,-0.559528296,-0.074332685,0.016656861
1,1.971358925,-0.241494937,-0.061215265
0,-0.663064008,-0.307006074,0.064166989
0,-0.501061156,-0.260920168,0.058237341
0,-0.75864677,-0.079941929,0.140140644
0,-0.603889178,0.577948816,0.000764916
0,-0.630004767,0.031974512,0.037470646
0,-0.541126746,-0.374054133,0.039830307
0,-0.614605536,0.172651541,0.090777135
0,-0.258265268,-0.254954137,-0.007300919
0,-0.877515184,-0.677401918,0.086257839
1,1.266362251,-0.935123589,-0.005038853
1,0.563902677,-0.519134282,0.009855223
0,-0.594206075,0.19550703,0.097535434
1,0.156354253,-0.513551604,0.028573743
1,0.602170968,-1.051188636,0.046000075
1,0.196412901,-0.575658296,0.047817183
0,-0.698783317,0.106313766,0.042159039
0,-0.554984791,0.084162405,0.080019572
1,1.853165086,-0.983188882,0.018533893
1,0.078485271,-0.446889374,0.066672826
1,1.122258424,0.130009223,0.015416304
1,0.325185411,-0.209833133,-0.003643582
0,-0.455614129,-0.556312827,0.055274421
0,-0.774451945,-0.33215109,0.088365486
0,-0.702175058,-0.220247197,0.103764835
1,0.52978415,-0.915832351,0.048650231
1,1.989651652,-0.146833113,-0.190006864
0,-0.151470444,-0.690756723,0.042109163
1,0.943443932,-1.070948811,0.054922969
0,-0.530844078,-0.314257807,0.102954009
1,0.306176237,-0.635502856,0.003042132
0,-0.063728033,1.416193322,0.072589264
0,-0.204128082,0.243008245,-0.00810891
0,-0.321728695,-0.188516782,0.021136755
0,-0.400270099,0.124332738,0.091731449
0,-0.00426892,0.004491954,-0.020417644
0,2.289937676,5.507222675,-0.198625526
0,0.394082644,-0.95162506,0.03783552
0,4.786539961,10.68329925,-0.40064619
0,-0.6444528,-0.746451599,0.081347116
0,-0.504199607,-0.159095034,0.053210372
0,-0.696744393,-0.220521656,0.132906298
0,0.133650223,-0.213815293,0.143349755
1,0.436431015,-0.479444306,0.069920755
1,0.457110683,-0.59695084,-0.023740384
0,-0.435218841,0.57560668,0.137078255
0,-0.781039049,-0.186277808,0.071286751
0,-0.686945341,-0.440659401,0.067749067
1,0.470146545,-0.955475335,0.082408499
0,-0.623661637,-0.283527231,0.062291823
0,-0.253574862,0.80662904,0.131921722
0,-0.030860998,2.377723627,-1.369175552
1,0.17063163,-0.613804488,-1.610756632
0,-0.456916163,-0.041180517,-1.540904781
0,-0.684025139,-0.376977856,-1.590793368
1,1.305250894,-0.753760059,-1.583147707
1,1.771150051,-0.799899975,-1.607777838
0,0.415360115,1.44635713,-1.713639818
0,-0.750371501,-0.756139754,-1.552737392
0,-0.61568593,-0.439792433,-1.561730391
1,1.179599185,-1.095623442,-1.623948373
0,-0.811433245,-0.451625613,-1.563990629
1,-0.087311742,-0.631927911,-1.534612103
0,-0.250504811,-0.600232232,-1.559856842
1,1.206410379,-0.990084776,-1.639262265
0,-0.617858253,0.282777097,-1.609678474
1,3.417580768,-0.546362667,-1.721390702
0,-0.677441629,-0.18751623,-1.582862296
0,-0.019492625,-0.548754135,-1.602362054
1,0.260361464,-0.813003557,-1.595686307
0,0.688896956,-0.542801591,-1.647191565
1,2.165752479,-1.404814629,-1.669989824
0,-0.667731369,0.200106019,-1.57679462
1,0.66486018,-0.076688096,-1.67940225
0,-0.831552612,-0.407829681,-1.526719506
0,-0.757935202,-0.02895939,-1.573544506
